#DataThief ATIC02: E[GeV]	lnA	lnAlow	lnAup
201.14232893	1.33578792	0.00441826	0.01325479
321.34206214	1.54197349	0.01030928	0.01620029
508.17224945	1.65243004	0.01620029	0.00883652
812.00875305	1.70544919	0.02356406	0.023
1271.06240229	1.74963181	0.00883652	0.0191458
2031.05066265	1.79528719	0.01178203	0.00736377
3196.12208775	1.73343152	0.00589102	0.01325479
5081.54901244	1.67893962	0.07658321	0.06627393
8038.01917896	1.59351988	0.09720177	0.09867452
12777.57645365	1.67010309	0.13254786	0.13549337
19996.54587459	1.89248895	0.22091311	0.21502209
32288.64792494	1.81885125	0.29013255	0.28865979
64024.83862299	2.24889543	0.5095729	0.51399116
159475.79561221	1.58173785	0.78350514	0.78645065
