Emin (10^3 GeV)  Emax (10^3 GeV)  E (10^3 GeV)  Φ ± σ_stat. + σ_sys. − σ_sys. (m^-2 s^-1 sr^-1 GeV^-1)
10.00            15.85            12.59        (3.85 ± 0.01 + 0.47 − 0.14) × 10^-7
15.85            25.12            19.95        (1.20 ± 0.01 + 0.16 − 0.05) × 10^-7
25.12            39.81            31.62        (3.74 ± 0.02 + 0.43 − 0.17) × 10^-8
39.81            63.10            50.12        (1.12 ± 0.01 + 0.11 − 0.06) × 10^-8
63.10            100.00           79.43        (3.23 ± 0.03 + 0.28 − 0.20) × 10^-9
100.00           158.49           125.89       (9.18 ± 0.10 + 0.74 − 0.50) × 10^-10
158.49           251.19           199.53       (2.63 ± 0.04 + 0.24 − 0.20) × 10^-10
251.19           398.11           316.29       (7.60 ± 0.14 + 0.68 − 0.25) × 10^-11
398.11           630.96           501.19       (2.16 ± 0.05 + 0.18 − 0.12) × 10^-11
630.96           1000.00          794.33       (6.38 ± 0.17 + 0.54 − 0.75) × 10^-12
