#DataThief KASCADE E[GeV]	lnA 	lnAlow	lnAup
932045.67852692	1.51658069	0.35224761	0.32129698
1175089.14987528	1.60353721	0.2284451	0.18128224
1451306.78203624	1.55342667	0.29329403	0.2697126
1877475.84000202	1.59322034	0.29771555	0.26529108
2330768.11453937	1.64775239	0.28887251	0.25055269
2938547.31089915	1.7302874	0.28002948	0.24318349
3629285.18410279	1.75386883	0.31982314	0.28887251
4646903.16853309	1.81429624	0.28445099	0.25644805
5949851.81994211	1.85998526	0.32866618	0.28297716
7310688.09889175	2.12232867	0.3109801	0.27560795
9408861.70926798	2.18570376	0.38761975	0.33161385
11620518.1635377	2.4008843	0.37582903	0.3257185
14575478.1348599	2.62785556	0.39498895	0.37140752
18376230.4843125	2.88577745	0.45099484	0.4082535
23168080.2295562	2.91230656	0.4008843	0.36109064
29511838.9911807	3.0862196	0.57037583	0.50405306
36826232.1521647	3.33382461	0.57184967	0.53647752
46190706.2980525	3.49152541	0.68386146	0.64554164
58536199.8528918	3.0449521	0.65733235	0.60280029
72669008.7065393	3.66396463	0.87398673	0.79587325
92091417.4663069	3.77302874	0.79882093	0.90935888
114915912.893453	3.34561533	0.81061163	0.77818718

