#DataThief NUCLEON-KLEM: E[GeV]	lnA	lnAlow	lnAup
7932.9960863	1.44138841	0.02425518	0.02170043
12506.54253523	1.51676149	0.01276191	0.01531604
19940.2617067	1.55001359	0.0178711	0.01404147
31507.18415774	1.55518275	0.03829322	0.04722768
49783.83273757	1.59481581	0.05616182	0.06892717
79553.74543095	1.6114745	0.10339137	0.08041201
125135.90612563	1.66004202	0.13530207	0.13530207
198170.67707246	1.69074029	0.18508668	0.18508668
316673.48070215	1.70612255	0.2680547	0.26933114
500369.04335122	1.73554408	0.43142754	0.43142754

