# Aartsen et al., PhRvD 100, 082002 (2019)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (-)	Syst Err (-)
AllParticles	3548130	[3162280,3981070]	9.004900e-14	8.4237e-17	0.0000000000000058687	0.0000000000000066752
AllParticles	4466840	[3981070,5011870]	4.612000e-14	5.383e-17	0.0000000000000031722	0.0000000000000037672
AllParticles	5623410	[5011870,6309570]	2.323400e-14	3.4246e-17	0.000000000000001681	0.0000000000000020252
AllParticles	7079460	[6309570,7943280]	1.158400e-14	2.1716e-17	8.7362e-16	0.0000000000000010305
AllParticles	8912510	[7943280,10000000]	5.635100e-15	1.3548e-17	4.4578e-16	5.2388e-16
AllParticles	11220200	[10000000,12589300]	2.697700e-15	8.346e-18	2.1966e-16	2.5376e-16
AllParticles	14125400	[12589300,15848900]	1.308300e-15	5.1748e-18	9.4404e-17	1.1737e-16
AllParticles	17782800	[15848900,19952600]	6.472800e-16	3.2409e-18	4.7338e-17	5.9226e-17
AllParticles	22387200	[19952600,25118900]	3.249600e-16	2.0445e-18	2.3457e-17	2.6609e-17
AllParticles	28183800	[25118900,31622800]	1.657200e-16	1.3e-18	1.1554e-17	1.3341e-17
AllParticles	35481300	[31622800,39810700]	8.600300e-17	8.3382e-19	5.9613e-18	6.8521e-18
AllParticles	44668400	[39810700,50118700]	4.399000e-17	5.3096e-19	3.7695e-18	4.3033e-18
AllParticles	56234100	[50118700,63095700]	2.194400e-17	3.3389e-19	1.3697e-18	2.1877e-18
AllParticles	70794600	[63095700,79432800]	1.132400e-17	2.1356e-19	9.8301e-19	8.6129e-19
AllParticles	89125100	[79432800,100000000]	5.531800e-18	1.329e-19	4.8324e-19	5.7379e-19
AllParticles	125893000	[100000000,158489000]	2.061900e-18	4.8202e-20	1.4835e-19	2.0509e-19
AllParticles	199526000	[158489000,251189000]	4.619000e-19	1.8086e-20	4.2901e-20	5.4912e-20
AllParticles	316228000	[251189000,398107000]	9.965800e-20	6.6602e-21	1.0195e-20	1.4952e-20
AllParticles	501187000	[398107000,630957000]	2.237100e-20	2.5016e-21	1.2386e-21	2.0616e-21
AllParticles	794328000	[630957000,1000000000]	5.283100e-21	9.6379e-22	7.2014e-22	1.0212e-21
