# Aartsen et al., PhRvD 100, 082002 (2019)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (-)	Stat Err (+)	Syst Err (-)	Syst Err (-)
He	3548130	[3162280,3981070]	2.232000e-14	0.00000000000000981	0.00000000000000974	0.00000000000000761	0.00000000000000514
He	4466840	[3981070,5011870]	1.520000e-14	0.00000000000000401	0.00000000000000412	0.00000000000000373	0.00000000000000367
He	5623410	[5011870,6309570]	4.798000e-15	0.000000000000002109	0.000000000000002168	0.000000000000002146	0.000000000000001984
He	7079460	[6309570,7943280]	2.801000e-15	0.000000000000001166	0.000000000000001161	0.00000000000000136	0.000000000000001174
He	8912510	[7943280,10000000]	1.682000e-15	4.06e-16	4.12e-16	3.01e-16	2.19e-16
He	11220200	[10000000,12589300]	6.067000e-16	3.12e-16	3.049e-16	2.295e-16	1.549e-16
He	14125400	[12589300,15848900]	4.146000e-16	1.407e-16	1.399e-16	8.04e-17	5.92e-17
He	17782800	[15848900,19952600]	2.241000e-16	6.49e-17	6.74e-17	2.9e-17	1.08e-17
He	22387200	[19952600,25118900]	7.893000e-17	3.603e-17	3.526e-17	2.571e-17	1.885e-17
He	28183800	[25118900,31622800]	2.194000e-17	1.693e-17	1.668e-17	7.38e-18	1.121e-17
He	35481300	[31622800,39810700]	1.482000e-17	7.08e-18	7.72e-18	5.21e-18	7.18e-18
He	44668400	[39810700,50118700]	1.182000e-19	1.18e-19	3.143e-18	1.18e-19	2.046e-18
He	56234100	[50118700,63095700]	2.316000e-18	1.38e-18	1.379e-18	9.48e-19	4.49e-19
He	70794600	[63095700,79432800]	1.402000e-18	9.22e-19	8.58e-19	1.067e-18	1.1e-19
He	89125100	[79432800,100000000]	3.182000e-19	3.182e-19	6.307e-19	0	8.377e-19
He	125893000	[100000000,158489000]	8.100000e-21	8.1e-21	2.774e-19	8.1e-21	2.159e-19
#He	199526000	[158489000,251189000]	3.264000e-20	-	-	-	-
He	316228000	[251189000,398107000]	1.000000e-24	1e-24	7.633e-21	1e-24	7e-23
He	501187000	[398107000,630957000]	4.096000e-21	4.096e-21	4.094e-21	4.096e-21	2.171e-21
He	794328000	[630957000,1000000000]	2.785000e-21	2.785e-21	1.181e-21	2.785e-21	1.65e-22
