# Aartsen et al., PhRvD 100, 082002 (2019)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (-)	Stat Err (+)	Syst Err (-)	Syst Err (-)
H	3548130	[3162280,3981070]	2.791000e-14	0.00000000000000448	0.00000000000000471	0.00000000000001253	0.00000000000001289
H	4466840	[3981070,5011870]	1.359000e-14	0.0000000000000017	0.00000000000000173	0.00000000000000637	0.00000000000000629
H	5623410	[5011870,6309570]	7.838000e-15	0.000000000000001055	0.000000000000001092	0.000000000000003843	0.00000000000000379
H	7079460	[6309570,7943280]	3.456000e-15	5.42e-16	5.63e-16	0.000000000000002031	0.000000000000002045
H	8912510	[7943280,10000000]	1.393000e-15	2.01e-16	2.07e-16	7.85e-16	8.16e-16
H	11220200	[10000000,12589300]	6.684000e-16	1.462e-16	1.55e-16	4.106e-16	4.335e-16
H	14125400	[12589300,15848900]	2.656000e-16	6.01e-17	6.35e-17	1.771e-16	1.943e-16
H	17782800	[15848900,19952600]	1.040000e-16	2.3e-17	2.301e-17	6.43e-17	7.27e-17
H	22387200	[19952600,25118900]	5.291000e-17	1.556e-17	1.671e-17	3.677e-17	4.417e-17
H	28183800	[25118900,31622800]	3.172000e-17	8.07e-18	8.51e-18	2.218e-17	2.168e-17
H	35481300	[31622800,39810700]	1.294000e-17	4.05e-18	4.12e-18	1.082e-17	1.037e-17
H	44668400	[39810700,50118700]	8.205000e-18	1.609e-18	1.022e-18	4.838e-18	4.461e-18
H	56234100	[50118700,63095700]	2.536000e-18	6.46e-19	6.91e-19	1.167e-18	1.866e-18
H	70794600	[63095700,79432800]	1.194000e-18	3.79e-19	4.31e-19	7.96e-19	1.246e-18
H	89125100	[79432800,100000000]	8.318000e-19	2.957e-19	2.574e-19	6.256e-19	2.819e-19
H	125893000	[100000000,158489000]	2.422000e-19	1.118e-19	7.03e-20	1.441e-19	1.101e-19
H	199526000	[158489000,251189000]	5.257000e-20	1.781e-20	1.589e-20	3.663e-20	1.86e-20
H	316228000	[251189000,398107000]	1.340000e-20	4.37e-21	4.06e-21	6.31e-21	8.45e-21
H	501187000	[398107000,630957000]	3.562000e-21	2.825e-21	3.316e-21	2.908e-21	5.462e-21
H	794328000	[630957000,1000000000]	1.600000e-23	1.6e-23	2.319e-21	0	2.115e-21
