# Schoo et al., ICRC 34, 263 (2015)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err (±)
H-He-group	2238720	-	1.617050e-13	0.00000000000000116617	0.0000000000000462087
H-He-group	2818380	-	8.130320e-14	3.7092e-16	0.0000000000000235069
H-He-group	3548130	-	4.305570e-14	2.25644e-16	0.000000000000012388
H-He-group	4466840	-	2.053040e-14	9.53614e-17	0.00000000000000609241
H-He-group	5623410	-	1.016960e-14	5.98173e-17	0.00000000000000303583
H-He-group	7079460	-	4.862360e-15	3.68636e-17	0.00000000000000149823
H-He-group	8912510	-	2.271030e-15	2.24536e-17	7.34944e-16
H-He-group	11220200	-	1.155310e-15	4.37819e-18	3.63404e-16
H-He-group	14125400	-	5.467790e-16	2.68442e-18	1.774e-16
H-He-group	17782800	-	2.532150e-16	1.62813e-18	8.47833e-17
H-He-group	22387200	-	1.224960e-16	1.00927e-18	4.22428e-17
H-He-group	28183800	-	5.858200e-17	6.22052e-19	2.14842e-17
H-He-group	35481300	-	2.971750e-17	3.94867e-19	1.08545e-17
H-He-group	44668400	-	1.389910e-17	2.40679e-19	5.46126e-18
H-He-group	56234100	-	6.988400e-18	1.52102e-19	2.74438e-18
H-He-group	70794600	-	3.652510e-18	9.80033e-20	1.47731e-18
H-He-group	89125100	-	1.871530e-18	6.25235e-20	7.31903e-19
H-He-group	112202000	-	9.374290e-19	3.94379e-20	3.64685e-19
H-He-group	141254000	-	5.363930e-19	2.6588e-20	1.87672e-19
H-He-group	177828000	-	2.753250e-19	1.69773e-20	9.12864e-20
H-He-group	223872000	-	1.322170e-19	1.04855e-20	4.3407e-20
H-He-group	281838000	-	7.001570e-20	6.80052e-21	2.16652e-20
H-He-group	354813000	-	3.830120e-20	4.48281e-21	1.1333e-20
H-He-group	501187000	-	1.318610e-20	1.56491e-21	4.01156e-21
H-He-group	794328000	-	3.866990e-21	6.73157e-22	1.00776e-21
H-He-group	1258930000	-	6.654300e-22	2.2181e-22	1.92235e-22
