# Antoni et al., APh 24, 1 (2005)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (±)	Syst Err
H	1122020	-	4.670330e-13	0.0000000000000383875	-
H	1412540	-	2.646030e-13	0.0000000000000169303	-
H	1778280	-	1.707530e-13	0.00000000000000934645	-
H	2238720	-	9.477600e-14	0.00000000000000625672	-
H	2818380	-	4.051120e-14	0.00000000000000338235	-
H	3548130	-	1.882930e-14	0.00000000000000183556	-
H	4466840	-	9.471910e-15	0.00000000000000115627	-
H	5623410	-	3.282960e-15	5.51683e-16	-
H	7079460	-	8.751710e-16	3.07655e-16	-
H	8912510	-	2.776550e-16	1.38544e-16	-
H	11220200	-	9.665380e-17	5.49514e-17	-
H	14125400	-	2.753220e-17	2.11089e-17	-
H	17782800	-	1.045110e-17	9.63703e-18	-
H	22387200	-	1.110550e-17	1.05907e-17	-
H	28183800	-	4.460570e-18	6.13568e-18	-
H	35481300	-	2.067310e-18	3.02878e-18	-
H	44668400	-	3.143340e-18	3.08046e-18	-
H	56234100	-	1.253300e-18	1.55004e-18	-
H	70794600	-	2.232070e-19	7.28452e-19	-
H	89125100	-	1.631380e-18	1.0297e-18	-
