# Antoni et al., APh 24, 1 (2005)
# Quantity	<Etot> [GeV]	Bin range	Flux (per Etot bin) [# (GeV m2 s sr)-1]	Stat Err (-)	Stat Err (-)	Syst Err
H	1122020	-	2.515290e-13	0.0000000000000514561	0.0000000000000514561	-
H	1412540	-	1.337860e-13	0.0000000000000264995	0.0000000000000264995	-
H	1778280	-	7.165400e-14	0.0000000000000119075	0.0000000000000119075	-
H	2238720	-	4.153990e-14	0.00000000000000819631	0.00000000000000819631	-
H	2818380	-	2.260130e-14	0.00000000000000629556	0.00000000000000629556	-
H	3548130	-	9.690650e-15	0.0000000000000027151	0.0000000000000027151	-
H	4466840	-	3.970220e-15	0.00000000000000108546	0.00000000000000108546	-
H	5623410	-	1.606380e-15	5.31257e-16	5.31257e-16	-
H	7079460	-	5.744360e-16	2.51442e-16	2.51442e-16	-
H	8912510	-	1.844520e-16	7.74262e-17	7.74262e-17	-
H	11220200	-	1.474060e-16	7.90233e-17	7.90233e-17	-
H	14125400	-	6.699730e-17	3.45583e-17	3.45583e-17	-
H	17782800	-	1.688340e-17	1.16335e-17	1.16335e-17	-
H	22387200	-	1.301380e-17	1.08812e-17	1.08812e-17	-
H	28183800	-	3.372080e-18	4.42224e-18	4.42224e-18	-
H	35481300	-	1.283980e-18	2.80779e-18	2.80779e-18	-
H	44668400	-	3.672670e-18	2.43065e-18	2.43065e-18	-
H	56234100	-	3.911020e-19	1.27389e-18	1.27389e-18	-
H	70794600	-	<7.786310e-19	7.78631e-19	0	-
H	89125100	-	<1.302980e-18	1.30298e-18	0	-
